speed,CD
1.0,1.0045563619999998
158.8421052631579,0.0700803348
316.6842105263158,0.0630231142
474.52631578947364,0.05805750520000001
632.3684210526316,0.06143725599999999
790.2105263157895,0.060859763000000004
948.0526315789473,0.058288588800000006
1105.8947368421052,0.05741283939999998
1263.7368421052631,0.05792264780000002
1421.578947368421,0.05648846119999999
1579.421052631579,0.056224729
1737.2631578947369,0.056415485399999986
1895.1052631578946,0.056152029
2052.9473684210525,0.05965278759999999
2210.7894736842104,0.0579567132
2368.6315789473683,0.0577655326
2526.4736842105262,0.06165322099999997
2684.315789473684,0.06036652279999998
2842.157894736842,0.06116242560000001
3000.0,0.061654555000000014
